% Occupied,% Reported,% Extremely Low Income,% Female Head,% in poverty (Census tract),% minority (Census tract),% Very Low Income,% with disability among Head Spouse Co-head aged 61 years or less,% with disability among Head Spouse Co-head aged 62 years or older,0-1 BedroomUnits,Active Subsidies,City,CountyID,Earliest Start Date,FHA Loan Sub Program Units,FHA Loan Units,FairMarketRent 2BR,GEOID (census dataset 201910121110.csv),GEOID (hud dataset 201910121111.csv),GEOID (nhpd dataset 201910121111.csv),Geoid,HOME Grants,HUD Property ID,Household income per year,Latitude,Longitude,Low Income Housing Tax Credit sub-program,Low Income Housing Tax Credit,Median Income HH,NHPD Property ID,Number of Records,Occupancy Rate,Owner Type,Percent of ELI Households,Property Address,Property Name,Property Status,Rent Burdened H Hs,Rural Rental Housing,Section 8 Housing Units,StateID,State,Subsidized units available,Supportive Housing Elderly,Target Tenant Type,Three Plus Bedroom Units,Total Units,Total Low Income H Hs,TractID,TractName,Two Bedroom Units,Zip
81,84,69,81,45,99,93,25,62,9,1,Atlanta,121,5/1/18,,,990,13121007300,13121007300,13121007300,13121007300,,800004892,15241,33.672717,-84.3812442,,,24465,1018445,1,89,Non-Profit,90,2980 Jonesboro Rd SE,OXFORD VILLAGE TOWNHOUSES,Active,1819,,188,13,GA,1267,,Family,61,188,1436,7300,Census Tract 73,118,30354-4202
81,84,69,81,45,99,93,25,62,7,0,Atlanta,121,8/1/14,,,990,13121007300,13121007300,13121007300,13121007300,,800004636,15241,33.672717,-84.3812442,,,24465,1018455,1,83,Profit Motivated,75,85 Mount Zion Rd SW,GLENROSE GARDENS - BRANDYWINE,Inconclusive,1819,,80,13,GA,1267,,Family,30,238,1436,7300,Census Tract 73,43,30354-2349
88,99,81,64,52,94,98,39,9,,1,Atlanta,121,1/1/04,,,980,13121007400,13121007400,13121007400,13121007400,,,12859,33.6789102,-84.4070935,,240,17796,1038599,1,,For Profit,,532 Cleveland Ave SW,CRESENT HILLS,Active,1020,,,13,GA,485,,,,124,764,7400,Census Tract 74,,30315-8000
88,99,81,64,52,94,98,39,9,60,1,Atlanta,121,1/1/03,,,980,13121007400,13121007400,13121007400,13121007400,,,12859,33.6789102,-84.4070935,,87,17796,1037966,1,,For Profit,,2891 Springdale Rd SW,HERITAGE GREEN APARTMENTS,Active,1020,,,13,GA,485,,,8,108,764,7400,Census Tract 74,41,30315-7800
88,99,81,64,52,94,98,39,9,240,4,Atlanta,121,7/1/76,240,240,980,13121007400,13121007400,13121007400,13121007400,,800005020,12859,33.6789102,-84.4070935,,239,17796,1037909,1,99,Multiple,87,2611 Springdale Rd SW,TRINITY TOWERS,Active,1020,,232,13,GA,485,,Elderly,,240,764,7400,Census Tract 74,,30315-7137
80,94,66,74,31,93,94,31,28,,1,Atlanta,121,1/1/07,,,980,13121007500,13121007500,13121007500,13121007500,,,15880,33.6934857,-84.4097937,,191,23563,1038530,1,,For Profit,,1150 Astor Ave SW,COLUMBIA AT SYLVAN HILLS,Active,1165,,,13,GA,943,,,,191,904,7500,Census Tract 75,,30310-4856
80,94,66,74,31,93,94,31,28,,1,Atlanta,121,1/1/04,,,980,13121007500,13121007500,13121007500,13121007500,,,15880,33.6934857,-84.4097937,,200,23563,1038561,1,,For Profit,,2000 Rambling Dr SW,BROOKSIDE PARK,Active,1165,,,13,GA,943,,,,200,904,7500,Census Tract 75,,30315-5928
80,94,66,74,31,93,94,31,28,,1,Atlanta,121,1/1/95,,,980,13121007500,13121007500,13121007500,13121007500,,,15880,33.6934857,-84.4097937,,144,23563,1038137,1,,,,2370 Metropolitan Pkwy SW,SANTA FE VILLAS,Active,1165,,,13,GA,943,,,,144,904,7500,Census Tract 75,,30315-6238
80,94,66,74,31,93,94,31,28,250,2,Atlanta,121,2/1/75,,,980,13121007500,13121007500,13121007500,13121007500,,800004827,15880,33.6934857,-84.4097937,,250,23563,1106663,1,95,Profit Motivated,92,2141 Springdale Rd SW,LAKEWOOD CHRISTIAN MANOR,Active,1165,,50,13,GA,943,,Elderly,0,250,904,7500,Census Tract 75,0,30315-6100
84,96,71,84,38,99,94,30,23,,1,Atlanta,121,1/1/96,,,970,13121007602,13121007602,13121007602,13121007602,,,16477,33.7109013,-84.4621548,,62,34136,1038407,1,,Multiple,,1856 Wells Dr SW,WELLS COURT COMMONS,Active,551,,,13,GA,156,,,,62,440,7602,Census Tract 76.02,62,30311-3839
84,96,71,84,38,99,94,30,23,45,1,Atlanta,121,8/11/18,,,970,13121007602,13121007602,13121007602,13121007602,,800223848,16477,33.7109013,-84.4621548,,,34136,1018443,1,97,Non-Profit,82,2447 Campbellton Rd SW,PROVIDENCE MANOR,Active,551,,45,13,GA,156,,Elderly,0,46,440,7602,Census Tract 76.02,0,30311-3802
85,97,74,66,57,92,96,46,24,,1,Atlanta,121,1/1/12,,,970,13121007603,13121007603,13121007603,13121007603,,,13557,33.7065095,-84.440383,,100,13792,1039002,1,,For Profit,,1928 Delowe Dr SW,BAPTIST GARDENS,Active,2453,,,13,GA,1112,,,,100,1783,7603,Census Tract 76.03,,30311
85,97,74,66,57,92,96,46,24,,1,Atlanta,121,1/1/08,,,970,13121007603,13121007603,13121007603,13121007603,,,13557,33.7065095,-84.440383,,96,13792,1038551,1,,For Profit,,1830 Campbellton Rd SW,LILLIE R CAMPBELL HOUSE,Active,2453,,,13,GA,1112,,,,96,1783,7603,Census Tract 76.03,,30311-4176
85,97,74,66,57,92,96,46,24,112,2,Atlanta,121,1/1/01,,,970,13121007603,13121007603,13121007603,13121007603,,,13557,33.7065095,-84.440383,177,177,13792,1038493,1,,For Profit,,1935 Alison Ct SW,BRENTWOOD CREEK,Active,2453,,,13,GA,1112,,,80,250,1783,7603,Census Tract 76.03,72,30311-5065
85,97,74,66,57,92,96,46,24,148,1,Atlanta,121,1/1/01,,,970,13121007603,13121007603,13121007603,13121007603,,,13557,33.7065095,-84.440383,,149,13792,1038495,1,,,,2060 Alison Ct SW,BRENTWOOD HEIGHTS,Active,2453,,,13,GA,1112,,,,198,1783,7603,Census Tract 76.03,50,30311-4924
85,97,74,66,57,92,96,46,24,,3,Atlanta,121,4/1/78,,203,970,13121007603,13121007603,13121007603,13121007603,202,800244636,13557,33.7065095,-84.440383,,202,13792,1038151,1,,,,1870 Campbellton Rd SW,QLS GARDENS APARTMENTS,Active,2453,,,13,GA,1112,,,,203,1783,7603,Census Tract 76.03,,30311-4131
85,97,74,66,57,92,96,46,24,119,1,Atlanta,121,5/1/19,,,970,13121007603,13121007603,13121007603,13121007603,,800004924,13557,33.7065095,-84.440383,,,13792,1038095,1,99,Non-Profit,85,1840 Campbellton Rd SW,QLS HAVEN,Active,2453,,119,13,GA,1112,,Elderly,0,120,1783,7603,Census Tract 76.03,0,30311-4168
85,97,74,66,57,92,96,46,24,268,3,Atlanta,121,10/1/72,,300,970,13121007603,13121007603,13121007603,13121007603,,800004621,13557,33.7065095,-84.440383,,300,13792,1037790,1,97,Profit Motivated,82,1881 Myrtle Dr SW,BAPTIST TOWERS,Active,2453,,268,13,GA,1112,,Elderly,,300,1783,7603,Census Tract 76.03,,30311-4961
78,93,69,82,50,99,97,44,63,,1,Atlanta,121,1/1/06,,,970,13121007604,13121007604,13121007604,13121007604,,,14266,33.7010616,-84.4654727,,323,18537,1038559,1,,For Profit,,1994 Bent Creek Way SW,PRESERVE AT BENT CREEK,Active,898,,,13,GA,520,,,,323,690,7604,Census Tract 76.04,,30311-3827
78,93,69,82,50,99,97,44,63,,3,Atlanta,121,3/1/88,299,299,970,13121007604,13121007604,13121007604,13121007604,,,14266,33.7010616,-84.4654727,,120,18537,1038557,1,,,,1991 Delowe Dr SW,PARK AT LAKEWOOD,Active,898,,,13,GA,520,,,,299,690,7604,Census Tract 76.04,,30311-4736
78,93,61,80,32,99,90,37,65,,1,Atlanta,121,11/1/76,,,970,13121007704,13121007704,13121007704,13121007704,,,17326,33.7080796,-84.4873952,,,30497,1038580,1,,For Profit,,3041 Landrum Dr SW,VILLAGES OF CASCADE APARTMENTS,Active,1085,,,13,GA,257,,,,180,896,7704,Census Tract 77.04,,30311-4209
78,93,61,80,32,99,90,37,65,94,2,Atlanta,121,12/1/88,,376,970,13121007704,13121007704,13121007704,13121007704,,,17326,33.7080796,-84.4873952,0,376,30497,1106976,1,,,,2909 Campbellton Rd SW,HUNTINGWOOD POINTE - CASCADE PINES APARTMENTS,Active,1085,,,13,GA,257,,,91,376,896,7704,Census Tract 77.04,191,30311-4508
84,96,72,79,43,99,96,36,23,,1,Atlanta,121,1/1/06,,,1090,13121007705,13121007705,13121007705,13121007705,,,14209,33.683153,-84.4909911,,320,22592,1038582,1,,For Profit,,3200 Stone Rd SW,HIDDEN CRESTE APARTMENTS,Active,1389,,,13,GA,776,,,,320,1084,7705,Census Tract 77.05,,30331-2900
84,96,72,79,43,99,96,36,23,,3,Atlanta,121,1/1/01,,122,1090,13121007705,13121007705,13121007705,13121007705,93,800237695,14209,33.683153,-84.4909911,,93,22592,1038171,1,,,,2999 Continental Colony Pkwy SW,COLUMBIA COLONY SENIOR RESIDEN,Active,1389,,,13,GA,776,,Family,,122,1084,7705,Census Tract 77.05,,30331-3068
84,96,72,79,43,99,96,36,23,,2,Atlanta,121,1/1/93,,173,1090,13121007705,13121007705,13121007705,13121007705,,800234955,14209,33.683153,-84.4909911,,174,22592,1038239,1,,For Profit,,3000 Stone Hogan Connector Rd SW,GREENBRIAR COMMONS,Active,1389,,,13,GA,776,,Family,,173,1084,7705,Census Tract 77.05,,30331-2834
84,96,72,79,43,99,96,36,23,93,1,Atlanta,121,11/1/18,,,1090,13121007705,13121007705,13121007705,13121007705,,800064666,14209,33.683153,-84.4909911,,,22592,1018447,1,99,Non-Profit,79,3060 Continental Colony Pkwy SW,QLS MEADOWS,Active,1389,,93,13,GA,776,,Elderly,0,94,1084,7705,Census Tract 77.05,0,30331-3061
84,96,72,79,43,99,96,36,23,160,2,Atlanta,121,4/1/72,,160,1090,13121007705,13121007705,13121007705,13121007705,,800004744,14209,33.683153,-84.4909911,,,22592,1038106,1,94,Non-Profit,77,3033 Continental Colony Pkwy SW,ASBURY HARRIS EPWORTH TOWERS,Active,1389,,160,13,GA,776,,Elderly,0,160,1084,7705,Census Tract 77.05,0,30331-3039
84,95,67,81,22,98,93,38,70,,1,Atlanta,121,10/31/81,,,1090,13121007706,13121007706,13121007706,13121007706,,,16272,33.6739591,-84.5227366,,,36369,1038268,1,99,Public Entity,88,2440 Barge Rd SW,BARGE ROAD HIGHRISE,Active,2505,,,13,GA,509,,,0,129,2288,7706,Census Tract 77.06,0,30331-5251
84,95,67,81,22,98,93,38,70,,1,Atlanta,121,1/1/09,,,1090,13121007706,13121007706,13121007706,13121007706,,,16272,33.6739591,-84.5227366,,,36369,1038709,1,,Public Entity,,4725 Walton Xing SW,THE LEGACY AT WALTON LAKES,Active,2505,,,13,GA,509,,,,126,2288,7706,Census Tract 77.06,,30331
84,95,67,81,22,98,93,38,70,66,1,Atlanta,121,1/1/07,,,1090,13121007706,13121007706,13121007706,13121007706,,,16272,33.6739591,-84.5227366,,141,36369,1038071,1,,For Profit,,3381 Greenbriar Pkwy SW,PARK VIEW AT COVENTRY STATION,Active,2505,,,13,GA,509,,,,166,2288,7706,Census Tract 77.06,100,30331-2654
84,95,67,81,22,98,93,38,70,110,1,Atlanta,121,1/1/98,,,1090,13121007706,13121007706,13121007706,13121007706,,,16272,33.6739591,-84.5227366,,220,36369,1038441,1,,For Profit,,3540 N Camp Creek Pkwy SW,TECALI CLUB APARTMENTS,Active,2505,,,13,GA,509,,,60,232,2288,7706,Census Tract 77.06,62,30331-3214
87,100,65,85,26,99,94,20,21,,0,Atlanta,121,,,,1090,13121007802,13121007802,13121007802,13121007802,,,16853,33.7135595,-84.5286786,,,44932,1104756,1,,,,170 Saint Marteen Ct SW,FULTON COTTON MILL LOFTS,Inconclusive,1121,,,13,GA,402,,,,77,959,7802,Census Tract 78.02,,30331
87,100,65,85,26,99,94,20,21,24,11,Atlanta,121,1/1/01,136,153,1090,13121007802,13121007802,13121007802,13121007802,,800216710,16853,33.7135595,-84.5286786,121,0,44932,1038487,1,,Multiple,,1371 Kimberly Way SW,ASHLEY CRTS CASCADE PHASE THRE,Active,1121,,,13,GA,402,,Family,72,153,959,7802,Census Tract 78.02,60,30331-4621
87,100,65,85,26,99,94,20,21,16,1,Atlanta,121,1/1/98,,,1090,13121007802,13121007802,13121007802,13121007802,,,16853,33.7135595,-84.5286786,,111,44932,1038153,1,,Multiple,,3820 Old Cascade Rd SW,FULTON-ATL CAA/CASCADE APARTMENTS,Active,1121,,,13,GA,402,,,,111,959,7802,Census Tract 78.02,96,30331-3133
87,100,65,85,26,99,94,20,21,63,1,Atlanta,121,8/20/99,,,1090,13121007802,13121007802,13121007802,13121007802,,800004925,16853,33.7135595,-84.5286786,,,44932,1038083,1,99,Non-Profit,67,4020 Danforth Rd SW,QLS VILLA,Active,1121,,63,13,GA,402,,Elderly,0,64,959,7802,Census Tract 78.02,0,30331-2089
79,100,60,81,33,98,91,34,63,120,3,Atlanta,121,11/11/03,,,1090,13121007805,13121007805,13121007805,13121007805,117,,16733,33.7538409,-84.5381827,0,0,33255,1038586,1,,For Profit,,3724 Martin Luther King Jr Dr SW,MARTIN HOUSE @ ADAMSVILLE PLACE,Active,782,,,13,GA,323,,,0,153,656,7805,Census Tract 78.05,32,30331-3600
78,96,61,92,18,100,89,29,76,,1,Atlanta,121,1/1/05,,,1090,13121007806,13121007806,13121007806,13121007806,,,19051,33.7459578,-84.5145823,,210,31192,1038603,1,,For Profit,,751 Fairburn Rd SW,PRESERVE AT CASCADE,Active,1147,,,13,GA,405,,,,210,982,7806,Census Tract 78.06,,30331-2096
78,96,61,92,18,100,89,29,76,,1,Atlanta,121,1/1/03,,,1090,13121007806,13121007806,13121007806,13121007806,,,19051,33.7459578,-84.5145823,,120,31192,1038596,1,,For Profit,,500 Richard Allen Blvd SW,BIG BETHEL VILLAGE,Active,1147,,,13,GA,405,,,,120,982,7806,Census Tract 78.06,,30331-4217
80,94,71,70,58,99,94,33,55,,1,Atlanta,121,1/1/10,,,1090,13121007807,13121007807,13121007807,13121007807,,,14651,33.7624507,-84.4968617,,90,21912,1039006,1,,For Profit,,3537 Martin Luther King Jr Dr SW,ADAMSVILLE GREEN SENIOR,Active,797,,,13,GA,325,,,,90,545,7807,Census Tract 78.07,,30331-4055
80,94,71,70,58,99,94,33,55,0,1,Atlanta,121,1/1/92,,,1090,13121007807,13121007807,13121007807,13121007807,,,14651,33.7624507,-84.4968617,,32,21912,1038587,1,,,,3775 Martin Luther King Jr Dr SW,BOLTON CROSSING,Active,797,,,13,GA,325,,,0,86,545,7807,Census Tract 78.07,0,30331-3523
80,94,71,70,58,99,94,33,55,0,1,Atlanta,121,1/1/71,,,1090,13121007807,13121007807,13121007807,13121007807,,800004748,14651,33.7624507,-84.4968617,,,21912,1014978,1,91,Profit Motivated,93,195 Fairburn Rd NW,FAIRBURN-GORDON APARTMENTS,Active,797,,69,13,GA,325,,Family,36,102,545,7807,Census Tract 78.07,33,30331-1672
86,92,86,91,71,99,99,11,42,,1,Atlanta,121,1/1/01,,,970,13121007808,13121007808,13121007808,13121007808,,,10037,33.751633,-84.4998632,,457,12266,1038579,1,,For Profit,,3040 Middleton Rd NW,ALLEN TEMPLE,Active,1466,,,13,GA,804,,,,457,914,7808,Census Tract 78.08,,30311
86,92,86,91,71,99,99,11,42,16,3,Atlanta,121,3/1/71,,240,970,13121007808,13121007808,13121007808,13121007808,,800237592,10037,33.751633,-84.4998632,,,12266,1108007,1,89,Profit Motivated,87,320 Fairburn Rd SW,PROVIDENCE AT CASCADE APARTMENTS,Active,1466,,211,13,GA,804,,Family & Elderly,40,240,914,7808,Census Tract 78.08,184,30331-1918
86,92,86,91,71,99,99,11,42,0,1,Atlanta,121,1/1/67,,,970,13121007808,13121007808,13121007808,13121007808,,800004618,10037,33.751633,-84.4998632,,,12266,1037805,1,83,Profit Motivated,88,3155 Hickman Dr NW,ALLEN HILLS APARTMENTS,Active,1466,,457,13,GA,804,,Family,133,457,914,7808,Census Tract 78.08,324,30311-1423
86,92,86,91,71,99,99,11,42,9,1,Atlanta,121,4/1/72,,,970,13121007808,13121007808,13121007808,13121007808,,800004751,10037,33.751633,-84.4998632,,,12266,1037877,1,70,Non-Profit,79,400 Fairburn Rd SW,FAIRBURN TOWNE HOUSES,Active,1466,,28,13,GA,804,,Family,14,240,914,7808,Census Tract 78.08,5,30331-1928
86,92,86,91,71,99,99,11,42,4,3,Atlanta,121,10/3/95,,24,970,13121007808,13121007808,13121007808,13121007808,,800005003,10037,33.751633,-84.4998632,,,12266,1023243,1,93,Non-Profit,75,450 Fairburn Rd SW,ATLANTA MANOR,Active,1466,,24,13,GA,804,24,Disabled,4,24,914,7808,Census Tract 78.08,16,30331-6111
82,95,73,76,27,99,96,39,75,,1,Atlanta,121,7/31/82,,,970,13121008102,13121008102,13121008102,13121008102,,,14950,33.7418287,-84.471601,,,24940,1038267,1,99,Public Entity,87,2610 Martin Luther King Jr Dr SW,HIGHTOWER MANOR HIGHRISE,Active,2027,,,13,GA,1095,,,0,129,1664,8102,Census Tract 81.02,0,30311-1642
82,95,73,76,27,99,96,39,75,47,2,Atlanta,121,1/1/07,,,970,13121008102,13121008102,13121008102,13121008102,171,,14950,33.7418287,-84.471601,,139,24940,1038075,1,,For Profit,,2800 Martin Luther King Jr Dr SW,SEVEN COURTS,Active,2027,,,13,GA,1095,,,20,171,1664,8102,Census Tract 81.02,104,30311-1539
82,95,73,76,27,99,96,39,75,137,3,Atlanta,121,1/1/07,,179,970,13121008102,13121008102,13121008102,13121008102,,800224405,14950,33.7418287,-84.471601,148,174,24940,1106509,1,,,,200 Peyton Pl SW,GATES PARK CROSSING HFOP APARTMENTS,Active,2027,,,13,GA,1095,,Elderly,0,179,1664,8102,Census Tract 81.02,136,30311-1640
82,95,73,76,27,99,96,39,75,0,2,Atlanta,121,1/1/04,,,970,13121008102,13121008102,13121008102,13121008102,,,14950,33.7418287,-84.471601,183,0,24940,1038573,1,,For Profit,,2423 Martin Luther King Jr Dr SW,PEAKS AT MLK,Active,2027,,,13,GA,1095,,,0,183,1664,8102,Census Tract 81.02,0,30311-1783
82,95,73,76,27,99,96,39,75,,1,Atlanta,121,1/1/03,,,970,13121008102,13121008102,13121008102,13121008102,,,14950,33.7418287,-84.471601,,202,24940,1038628,1,,For Profit,,2640 Martin Luther King Jr Dr SW,ALTA POINTE APARTMENTS,Active,2027,,,13,GA,1095,,,,230,1664,8102,Census Tract 81.02,,30311-6101
82,95,73,76,27,99,96,39,75,,3,Atlanta,121,1/1/03,,158,970,13121008102,13121008102,13121008102,13121008102,,800237668,14950,33.7418287,-84.471601,,79,24940,1038630,1,96,Multiple,52,2524 Martin Luther King Jr Dr SW,COLUMBIA COMMONS APARTMENTS,Active,2027,,,13,GA,1095,,Family,39,158,1664,8102,Census Tract 81.02,117,30311-1766
82,95,73,76,27,99,96,39,75,0,2,Atlanta,121,1/1/02,,,970,13121008102,13121008102,13121008102,13121008102,,,14950,33.7418287,-84.471601,81,0,24940,1038525,1,,For Profit,,330 Brownlee Rd SW,TOWNE WEST MANOR,Active,2027,,,13,GA,1095,,,6,108,1664,8102,Census Tract 81.02,102,30311-1800
78,93,67,76,13,99,94,35,41,,1,Atlanta,121,7/1/09,,136,1130,13121008201,13121008201,13121008201,13121008201,,800227512,16239,33.7699904,-84.4826839,,,31037,1038073,1,,,,2748 Donald Lee Hollowell Pkwy NW,AVALON PARK SENIORS,Active,1081,,,13,GA,796,,,,136,937,8201,Census Tract 82.01,,30318-7973
78,93,67,76,13,99,94,35,41,84,4,Atlanta,121,1/1/07,,175,1130,13121008201,13121008201,13121008201,13121008201,,800227513,16239,33.7699904,-84.4826839,136,136,31037,1038578,1,,,,2798 Peek Rd NW,AVALON PARK FAMILY,Active,1081,,,13,GA,796,,,35,175,937,8201,Census Tract 82.01,100,30318-6072
78,93,67,76,13,99,94,35,41,0,3,Atlanta,121,1/1/04,,,1130,13121008201,13121008201,13121008201,13121008201,,,16239,33.7699904,-84.4826839,0,0,31037,1038518,1,,For Profit,,1000 Harwell Rd NW,DOGWOOD APARTMENTS,Active,1081,,,13,GA,796,,,0,420,937,8201,Census Tract 82.01,0,30318
78,94,68,91,33,99,92,26,62,,2,Atlanta,121,10/1/87,,144,1090,13121008202,13121008202,13121008202,13121008202,,,15970,33.7793244,-84.5210258,,,27454,1038610,1,,,,901 Bolton Rd NW,RIVERWOOD CLUB APARTMENTS,Active,410,,,13,GA,210,,,,144,363,8202,Census Tract 82.02,,30331-1301
85,97,77,66,38,99,96,32,19,97,1,Atlanta,121,9/1/09,,,990,13121008400,13121008400,13121008400,13121008400,,800004607,14009,33.7618564,-84.4355748,,,21708,1037856,1,97,Profit Motivated,91,359 W Lake Ave NW,SILVERTREE SENIOR ATLANTA APARTMENTS,Active,1047,,97,13,GA,276,,Elderly,0,98,824,8400,Census Tract 84,0,30318-8100
86,90,81,81,48,99,97,8,17,,1,Atlanta,121,1/1/03,,,1130,13121008601,13121008601,13121008601,13121008601,,,11328,33.7814707,-84.4661985,,105,21846,1038524,1,,For Profit,,1093 Wedgewood Dr NW,CROGMAN SCHOOL,Active,1263,,,13,GA,968,,,,105,932,8601,Census Tract 86.01,,30318-4553
86,90,81,81,48,99,97,8,17,,1,Atlanta,121,8/1/70,,,1130,13121008601,13121008601,13121008601,13121008601,,,11328,33.7814707,-84.4661985,,164,21846,1039004,1,,For Profit,,2591 Etheridge Dr NW,ETHERIDGE COURT DEVELOPMENT I,Active,1263,,,13,GA,968,,,,164,932,8601,Census Tract 86.01,,30318
86,90,81,81,48,99,97,8,17,55,2,Atlanta,121,10/1/18,,,1130,13121008601,13121008601,13121008601,13121008601,,800212852,11328,33.7814707,-84.4661985,,,21846,1038436,1,97,Non-Profit,74,2451 Donald Lee Hollowell Pkwy NW,JOHNNIE B MOORE TOWERS,Active,1263,,55,13,GA,968,,Elderly,0,55,932,8601,Census Tract 86.01,0,30318-8363
86,90,81,81,48,99,97,8,17,22,3,Atlanta,121,1/1/75,,,1130,13121008601,13121008601,13121008601,13121008601,,800004745,11328,33.7814707,-84.4661985,,0,21846,1037903,1,85,Profit Motivated,91,2500 Center St NW,WOODLAND HEIGHTS - PHASE II,Active,1263,,164,13,GA,968,,Family,16,191,932,8601,Census Tract 86.01,158,30318-3899
86,90,81,81,48,99,97,8,17,42,5,Atlanta,121,6/1/71,,112,1130,13121008601,13121008601,13121008601,13121008601,,800219180,11328,33.7814707,-84.4661985,0,0,21846,1037842,1,95,Multiple,91,1033 Hollywood Rd NW,HOLLYWOOD/SHAWNEE APARTMENTS,Active,1263,,81,13,GA,968,,Family & Elderly,28,112,932,8601,Census Tract 86.01,54,30318-3963
78,93,53,93,23,95,87,28,73,36,2,Atlanta,121,1/1/02,,,1130,13121008602,13121008602,13121008602,13121008602,,800231556,18675,33.7928898,-84.4901297,160,0,36815,1038535,1,,For Profit,,1212 James Jackson Pkwy NW,PEAKS AT WEST ATLANTA,Active,416,,,13,GA,225,,,120,214,367,8602,Census Tract 86.02,24,30318-0657
87,97,69,84,28,96,93,17,30,,1,Atlanta,121,1/31/04,,,1130,13121008700,13121008700,13121008700,13121008700,,,15142,33.7939011,-84.4599872,,,29583,1039094,1,100,Public Entity,56,1702 Wilma Dr NW,COLUMBIA ESTATE,Active,1649,,,13,GA,954,,,,50,1459,8700,Census Tract 87,,30318-4068
87,97,69,84,28,96,93,17,30,,1,Atlanta,121,12/31/04,,,1130,13121008700,13121008700,13121008700,13121008700,,,15142,33.7939011,-84.4599872,,,29583,1038281,1,93,Public Entity,44,921 Westmoreland Cir NW,COLUMBIA PARK CITI,Active,1649,,,13,GA,954,,,,61,1459,8700,Census Tract 87,,30318-4021
87,97,69,84,28,96,93,17,30,100,2,Atlanta,121,1/1/12,,101,1130,13121008700,13121008700,13121008700,13121008700,,800233389,15142,33.7939011,-84.4599872,,101,29583,1038540,1,,,,1671 James Jackson Pkwy NW,MANOR AT SCOTT'S CROSSING,Active,1649,,,13,GA,954,,Elderly,,101,1459,8700,Census Tract 87,1,30318-3407
87,97,69,84,28,96,93,17,30,,2,Atlanta,121,1/1/07,,,1130,13121008700,13121008700,13121008700,13121008700,,,15142,33.7939011,-84.4599872,,138,29583,1038283,1,100,Multiple,41,1783 Johnson Rd NW,COLUMBIA GROVE,Active,1649,,,13,GA,954,,,,138,1459,8700,Census Tract 87,,30318-8901
87,97,69,84,28,96,93,17,30,,2,Atlanta,121,1/1/03,,,1130,13121008700,13121008700,13121008700,13121008700,,,15142,33.7939011,-84.4599872,,80,29583,1038282,1,98,Multiple,50,1903 Drew Dr NW,COLUMBIA CREST APARTMENTS,Active,1649,,,13,GA,954,,,38,152,1459,8700,Census Tract 87,114,30318-3508
87,97,69,84,28,96,93,17,30,0,3,Atlanta,121,1/1/04,,,1130,13121008700,13121008700,13121008700,13121008700,78,,15142,33.7939011,-84.4599872,0,0,29583,1038131,1,,For Profit,,1900 Perry Blvd NW,COULMBIA HERITAGE SR RESIDENCES,Active,1649,,,13,GA,954,,,0,132,1459,8700,Census Tract 87,130,30318-3500
87,97,69,84,28,96,93,17,30,72,2,Atlanta,121,1/1/03,,216,1130,13121008700,13121008700,13121008700,13121008700,,800242765,15142,33.7939011,-84.4599872,,194,29583,1038632,1,,Multiple,,1620 Hollywood Rd NW,DWELL AT THE VIEW APARTMENTS,Active,1649,,,13,GA,954,,Family,72,216,1459,8700,Census Tract 87,72,30318-9203
87,97,69,84,28,96,93,17,30,,2,Atlanta,121,1/1/03,,124,1130,13121008700,13121008700,13121008700,13121008700,,800237978,15142,33.7939011,-84.4599872,,62,29583,1038556,1,,For Profit,,1710 Noel St NW,COLUMBIA ESTATES,Active,1649,,,13,GA,954,,Family,54,124,1459,8700,Census Tract 87,44,30318-4056
87,97,69,84,28,96,93,17,30,0,2,Atlanta,121,1/1/99,,,1130,13121008700,13121008700,13121008700,13121008700,,,15142,33.7939011,-84.4599872,165,0,29583,1038606,1,,For Profit,,801 Northside Dr NW,VILLAGES AT CASTLEBERRY HILL - JOHN HOPE HOME,Active,1649,,,13,GA,954,,,0,165,1459,8700,Census Tract 87,0,30318
87,97,69,84,28,96,93,17,30,35,2,Atlanta,121,1/1/92,,,1130,13121008700,13121008700,13121008700,13121008700,,800004759,15142,33.7939011,-84.4599872,,163,29583,1037905,1,99,Multiple,94,2479 Abner Ter NW,FLIPPER TEMPLE APARTMENTS,Active,1649,,163,13,GA,954,,Family,0,163,1459,8700,Census Tract 87,128,30318-3468
85,99,83,66,9,41,96,70,89,,1,Atlanta,121,1/31/82,,,1130,13121008800,13121008800,13121008800,13121008800,,,12871,33.8123521,-84.4590717,,,95524,1038270,1,87,Public Entity,89,2295 Marietta Rd NW,MARIETTA ROAD HIGHRISE*,Active,352,,,13,GA,165,,,0,129,277,8800,Census Tract 88,,30318-1900
85,99,83,66,9,41,96,70,89,,1,Atlanta,121,1/1/95,,,1130,13121008800,13121008800,13121008800,13121008800,,,12871,33.8123521,-84.4590717,,50,95524,1038308,1,,Non-Profit,,1955 LA Dawn Ln NW,HAMPTON OAKS,Active,352,,,13,GA,165,,,,50,277,8800,Census Tract 88,,30318-2053
78,93,67,84,11,82,90,35,62,48,1,Atlanta,121,1/1/96,,,1130,13121008903,13121008903,13121008903,13121008903,,,15392,33.8165522,-84.4402752,,152,71548,1038353,1,,For Profit,,2453 Coronet Way NW,MOORES MILLS VILLAGE,Active,193,,,13,GA,83,,,12,152,193,8903,Census Tract 89.03,112,30318-1338
